number,player,position,height,weight,birth_date,country_code,experience,college,on-off
11,Payton Pritchard,PG,6-1,195,January 28 1998,us,3,Oregon,.40
30,Sam Hauser,SF,6-8,215,December 8 1997,us,2,Marquette Virginia,.40
0,Jayson Tatum,PF,6-8,210,March 3 1998,us,6,Duke,.70
9,Derrick White,SG,6-4,190,July 2 1994,us,6,Colorado-Colorado Springs Colorado,.60
7,Jaylen Brown,SF,6-6,223,October 24 1996,us,7,California,.60
4,Jrue Holiday,PG,6-4,205,June 12 1990,us,14,UCLA,.60
42,Al Horford,C,6-9,240,June 3 1986,do,16,Florida,.40
40,Luke Kornet,C,7-2,250,July 15 1995,us,6,Vanderbilt,.30
8,Kristaps Porziņģis,C,7-2,240,August 2 1995,lv,7,,.40
12,Oshae Brissett,SF,6-7,210,June 20 1998,ca,4,Syracuse,.20
50,Svi Mykhailiuk,SF,6-7,205,June 10 1997,ua,5,Kansas,.10
88,Neemias Queta,C,7-0,245,July 13 1999,pt,2,Utah State University,.10
26,Xavier Tillman Sr.,PF,6-8,245,January 12 1999,us,3,Michigan State,.10
44,Jaden Springer,PG,6-4,204,September 25 2002,us,2,Tennessee,0.0
27,Jordan Walsh,SF,6-7,205,March 3 2004,us,R,Arkansas,0.0
20,JD Davison  (TW),SG,6-1,195,October 3 2002,us,1,Alabama,0.0
13,Drew Peterson  (TW),PF,6-9,205,November 9 1999,us,R,Rice University USC,0.0
